# l, t, x, y
0 0.0000 0.0000 0.0000
0 0.0000 0.5061 0.4810
0 0.2292 0.5061 0.4810
0 0.2610 0.5061 0.4764
0 0.2627 0.5061 0.4733
0 0.2897 0.5061 0.4626
0 0.3110 0.5061 0.4534
0 0.3124 0.5061 0.4488
0 0.3358 0.5046 0.4381
0 0.3370 0.5031 0.4305
0 0.3597 0.5031 0.4228
0 0.3613 0.5015 0.4182
0 0.3846 0.5015 0.4090
0 0.3864 0.5000 0.4059
0 0.4095 0.4985 0.3968
0 0.4109 0.4969 0.3937
0 0.4359 0.4939 0.3876
0 0.4373 0.4923 0.3845
0 0.4595 0.4908 0.3784
0 0.4610 0.4893 0.3738
0 0.4856 0.4847 0.3661
0 0.4868 0.4816 0.3600
0 0.5106 0.4755 0.3477
0 0.5118 0.4709 0.3339
0 0.5347 0.4648 0.3248
0 0.5362 0.4617 0.3186
0 0.5602 0.4540 0.3064
0 0.5615 0.4510 0.3002
0 0.5846 0.4449 0.2895
0 0.5862 0.4418 0.2849
0 0.6095 0.4357 0.2788
0 0.6111 0.4341 0.2757
0 0.6349 0.4280 0.2711
0 0.6365 0.4249 0.2696
0 0.6591 0.4188 0.2665
0 0.6615 0.4142 0.2635
0 0.6845 0.4066 0.2604
0 0.6867 0.4004 0.2604
0 0.7093 0.3897 0.2574
0 0.7113 0.3836 0.2558
0 0.7345 0.3713 0.2543
0 0.7360 0.3652 0.2543
0 0.7593 0.3529 0.2528
0 0.7610 0.3468 0.2528
0 0.7859 0.3330 0.2528
0 0.8095 0.3238 0.2528
0 0.8111 0.3192 0.2528
0 0.8375 0.3070 0.2558
0 0.8597 0.2978 0.2589
0 0.8609 0.2932 0.2619
0 0.8852 0.2886 0.2635
0 0.8865 0.2855 0.2650
0 0.9120 0.2779 0.2711
0 0.9384 0.2702 0.2819
0 0.9598 0.2656 0.2895
0 0.9610 0.2641 0.2941
0 0.9867 0.2580 0.3079
0 1.0104 0.2518 0.3217
0 1.0116 0.2503 0.3294
0 1.0347 0.2472 0.3416
0 1.0362 0.2457 0.3493
0 1.0598 0.2426 0.3646
0 1.0616 0.2426 0.3707
0 1.0850 0.2396 0.3845
0 1.0866 0.2396 0.3906
0 1.1098 0.2396 0.4029
0 1.1114 0.2396 0.4090
0 1.1346 0.2396 0.4197
0 1.1378 0.2396 0.4243
0 1.1596 0.2411 0.4335
0 1.1631 0.2426 0.4381
0 1.1849 0.2472 0.4473
0 1.1871 0.2488 0.4519
0 1.2097 0.2534 0.4611
0 1.2125 0.2549 0.4672
0 1.2348 0.2595 0.4795
0 1.2362 0.2626 0.4856
0 1.2595 0.2656 0.4963
0 1.2607 0.2687 0.5040
0 1.2855 0.2733 0.5132
0 1.2867 0.2733 0.5193
0 1.3099 0.2763 0.5270
0 1.3112 0.2763 0.5300
0 1.3348 0.2779 0.5362
0 1.3362 0.2779 0.5392
0 1.3599 0.2779 0.5469
0 1.3613 0.2779 0.5515
0 1.3850 0.2779 0.5591
0 1.3862 0.2779 0.5668
0 1.4101 0.2779 0.5729
0 1.4114 0.2779 0.5760
0 1.4351 0.2779 0.5852
0 1.4363 0.2779 0.5898
0 1.4610 0.2763 0.5974
0 1.4623 0.2748 0.6005
0 1.4851 0.2718 0.6081
0 1.4864 0.2702 0.6112
0 1.5100 0.2672 0.6173
0 1.5112 0.2656 0.6204
0 1.5356 0.2626 0.6250
0 1.5369 0.2610 0.6281
0 1.5607 0.2564 0.6327
0 1.5620 0.2534 0.6373
0 1.5851 0.2518 0.6403
0 1.5863 0.2488 0.6419
0 1.6102 0.2442 0.6464
0 1.6114 0.2411 0.6480
0 1.6349 0.2350 0.6510
0 1.6362 0.2319 0.6526
0 1.6597 0.2273 0.6556
0 1.6611 0.2227 0.6572
0 1.6848 0.2166 0.6602
0 1.6863 0.2120 0.6618
0 1.7096 0.2044 0.6648
0 1.7116 0.2013 0.6664
0 1.7345 0.1936 0.6679
0 1.7365 0.1875 0.6694
0 1.7603 0.1814 0.6694
0 1.7615 0.1783 0.6694
0 1.7849 0.1706 0.6710
0 1.7861 0.1661 0.6710
0 1.8101 0.1569 0.6710
0 1.8116 0.1507 0.6710
0 1.8341 0.1415 0.6710
0 1.8362 0.1354 0.6710
0 1.8598 0.1262 0.6710
0 1.8616 0.1216 0.6710
0 1.8848 0.1124 0.6710
0 1.8864 0.1078 0.6710
0 1.9096 0.1002 0.6710
0 1.9114 0.0956 0.6694
0 1.9347 0.0879 0.6679
0 1.9367 0.0833 0.6664
0 1.9599 0.0757 0.6618
0 1.9611 0.0711 0.6602
0 1.9849 0.0619 0.6541
0 1.9864 0.0588 0.6510
0 2.0097 0.0512 0.6449
0 2.0120 0.0481 0.6434
0 2.0347 0.0420 0.6373
0 2.0376 0.0404 0.6357
0 2.0595 0.0374 0.6311
0 2.0616 0.0358 0.6296
0 2.0849 0.0343 0.6281
0 2.0872 0.0343 0.6265
1 0.0000 0.4847 0.4764
1 0.1890 0.4847 0.4779
1 0.2169 0.4847 0.4749
1 0.2383 0.4847 0.4672
1 0.2600 0.4847 0.4596
1 0.2613 0.4847 0.4565
1 0.2859 0.4847 0.4473
1 0.2871 0.4847 0.4458
1 0.3105 0.4847 0.4412
1 0.3117 0.4831 0.4396
1 0.3351 0.4831 0.4366
1 0.3364 0.4831 0.4366
1 0.3589 0.4831 0.4350
