# l, t, x, y
0 0.0000 0.0000 0.0000
0 0.0000 0.2028 0.5913
0 0.1334 0.2028 0.5928
0 0.1565 0.2028 0.5990
0 0.1577 0.2028 0.6036
0 0.1849 0.2028 0.6235
0 0.2074 0.2074 0.6373
0 0.2086 0.2151 0.6449
0 0.2316 0.2350 0.6602
0 0.2328 0.2488 0.6694
0 0.2570 0.2794 0.6817
0 0.2582 0.2963 0.6878
0 0.2814 0.3376 0.6939
0 0.2826 0.3698 0.6955
0 0.3057 0.4050 0.6955
0 0.3231 0.4494 0.6955
0 0.3242 0.4724 0.6955
0 0.3479 0.5230 0.6832
0 0.3490 0.5429 0.6756
0 0.3720 0.5766 0.6602
0 0.3894 0.6042 0.6434
0 0.4067 0.6225 0.6296
0 0.4078 0.6317 0.6219
0 0.4311 0.6471 0.6051
0 0.4483 0.6608 0.5867
0 0.4494 0.6670 0.5760
0 0.4720 0.6762 0.5530
0 0.4892 0.6808 0.5270
0 0.5068 0.6808 0.4933
0 0.5080 0.6746 0.4703
0 0.5315 0.6517 0.4366
0 0.5326 0.6348 0.4197
0 0.5560 0.5873 0.3799
0 0.5732 0.5475 0.3585
0 0.5743 0.5276 0.3477
0 0.5975 0.5000 0.3355
0 0.6147 0.4801 0.3263
0 0.6158 0.4724 0.3232
0 0.6394 0.4648 0.3186
0 0.6405 0.4648 0.3186
0 0.6636 0.4632 0.3171
0 0.6808 0.4632 0.3156
0 0.6989 0.4663 0.3140
0 0.7001 0.4709 0.3125
0 0.7227 0.4954 0.3110
0 0.7403 0.5383 0.3110
0 0.7415 0.5643 0.3110
0 0.7647 0.6317 0.3110
0 0.7659 0.6624 0.3110
0 0.7898 0.7420 0.3125
0 0.7909 0.7788 0.3140
0 0.8148 0.8278 0.3156
0 0.8159 0.8661 0.3186
0 0.8393 0.8814 0.3202
0 0.8567 0.9029 0.3232
0 0.8578 0.9090 0.3248
0 0.8807 0.9121 0.3278
